Question,Answer
daa,https://t.me/DAA_SVIET
design and analysis of algorithm,https://t.me/DAA_SVIET
d a a,https://t.me/DAA_SVIET
dwdm,https://t.me/DWDM_SVIET
d w d m,https://t.me/DWDM_SVIET
data warehousing and data mining,https://t.me/DWDM_SVIET
iot,https://t.me/IOT_SVIET
i o t,https://t.me/IOT_SVIET
internet of things,https://t.me/IOT_SVIET
cn,https://t.me/CN_SVIET
c n,https://t.me/CN_SVIET
computer networks,https://t.me/CN_SVIET
spm,https://t.me/SPM_SVIE
s p m,https://t.me/SPM_SVIE
software project management,https://t.me/SPM_SVIE
hi,hello!
hi mowa, hello mowa
hi ii!,hello!
good morning,good morning
good night,good night
good afternoon,good afternoon
good evening,good evening
who created you,udeep
who created you?,udeep
what is your name?,deku
what is your name,deku
time,check your phone
time?,check your phone
exam,ask cr
exam?,ask cr
do you love me,no
who do you love,i dont love
who is your master,udeep
who is your master,udeep
do you have friends?,yes the users in the group
do you have friends,yes the users in the group
